anio,funcion,sexo,decil,valor_millones
2004,Total,Mujeres,VII,143051.707
2004,Total,Mujeres,VIII,135577.266
2004,Total,Mujeres,IX,140470.315
2004,Total,Mujeres,X,126107.248
2005,Total,Mujeres,Total,1477675.644
2005,Total,Mujeres,I,118322.48
2005,Total,Mujeres,II,142420.836
2005,Total,Mujeres,III,147179.522
2005,Total,Mujeres,IV,143963.207
2005,Total,Mujeres,V,153433.489
2005,Total,Mujeres,VI,163943.246
2005,Total,Mujeres,VII,158552.056
2005,Total,Mujeres,VIII,150137.297
2005,Total,Mujeres,IX,157221.03
2005,Total,Mujeres,X,142502.481
2006,Total,Mujeres,Total,1584135.272
2006,Total,Mujeres,I,126526.263
2006,Total,Mujeres,II,148620.662
2006,Total,Mujeres,III,155634.936
2006,Total,Mujeres,IV,155287.438
2006,Total,Mujeres,V,161869.135
2006,Total,Mujeres,VI,174987.16
2006,Total,Mujeres,VII,171206.95
2006,Total,Mujeres,VIII,161619.112
2006,Total,Mujeres,IX,171146.951
2006,Total,Mujeres,X,157236.665
2007,Total,Mujeres,Total,1763967.397
2007,Total,Mujeres,I,140814.463
2007,Total,Mujeres,II,161501.48
2007,Total,Mujeres,III,171079.866
2007,Total,Mujeres,IV,174045.071
2007,Total,Mujeres,V,177279.581
2007,Total,Mujeres,VI,194024.31
2007,Total,Mujeres,VII,191902.448
2007,Total,Mujeres,VIII,180596.04
2007,Total,Mujeres,IX,193186.425
2007,Total,Mujeres,X,179537.712
2008,Total,Mujeres,Total,1886859.269
2008,Total,Mujeres,I,150462.231
2008,Total,Mujeres,II,168563.974
2008,Total,Mujeres,III,180684.639
2008,Total,Mujeres,IV,187407.13
2008,Total,Mujeres,V,186537.947
2008,Total,Mujeres,VI,206619.714
2008,Total,Mujeres,VII,206603.468
2008,Total,Mujeres,VIII,193825.737
2008,Total,Mujeres,IX,209492.035
2008,Total,Mujeres,X,196662.394
2009,Total,Mujeres,Total,1845100.518
2009,Total,Mujeres,I,147445.631
2009,Total,Mujeres,II,160308.556
2009,Total,Mujeres,III,174027.839
2009,Total,Mujeres,IV,184136.375
2009,Total,Mujeres,V,178691.82
2009,Total,Mujeres,VI,200576.973
2009,Total,Mujeres,VII,203061.484
2009,Total,Mujeres,VIII,190345.35
2009,Total,Mujeres,IX,208483.462
2009,Total,Mujeres,X,198023.026
2010,Total,Mujeres,Total,2027576.845
2010,Total,Mujeres,I,165176.043
2010,Total,Mujeres,II,173847.596
2010,Total,Mujeres,III,191270.74
2010,Total,Mujeres,IV,202828.385
2010,Total,Mujeres,V,197496.501
2010,Total,Mujeres,VI,218281.716
2010,Total,Mujeres,VII,220264.264
2010,Total,Mujeres,VIII,212688.043
2010,Total,Mujeres,IX,227410.663
2010,Total,Mujeres,X,218312.893
2011,Total,Mujeres,Total,2252724.38
2011,Total,Mujeres,I,187255.665
2011,Total,Mujeres,II,191196.434
2011,Total,Mujeres,III,213076.411
2011,Total,Mujeres,IV,226158.457
2011,Total,Mujeres,V,220576.8
2011,Total,Mujeres,VI,240321.337
2011,Total,Mujeres,VII,241448.583
2011,Total,Mujeres,VIII,239522.319
2011,Total,Mujeres,IX,250798.306
2011,Total,Mujeres,X,242370.069
2012,Total,Mujeres,Total,2478286.672
2012,Total,Mujeres,I,209383.653
2012,Total,Mujeres,II,208013.861
2012,Total,Mujeres,III,234849.811
2012,Total,Mujeres,IV,249708.855
2012,Total,Mujeres,V,243972.913
2012,Total,Mujeres,VI,262340.256
2012,Total,Mujeres,VII,262323.75
2012,Total,Mujeres,VIII,266819.902
2012,Total,Mujeres,IX,274054.172
2012,Total,Mujeres,X,266819.499
2013,Total,Mujeres,Total,2677262.461
2013,Total,Mujeres,I,230220.746
2013,Total,Mujeres,II,223018.207
2013,Total,Mujeres,III,254191.346
2013,Total,Mujeres,IV,270090.941
2013,Total,Mujeres,V,264329.254
2013,Total,Mujeres,VI,280964.647
2013,Total,Mujeres,VII,279979.432
2013,Total,Mujeres,VIII,291512.868
2013,Total,Mujeres,IX,294615.994
2013,Total,Mujeres,X,288339.025
2014,Total,Mujeres,Total,2824521.978
2014,Total,Mujeres,I,247178.954
2014,Total,Mujeres,II,233747.557
2014,Total,Mujeres,III,268247.41
2014,Total,Mujeres,IV,284584.647
2014,Total,Mujeres,V,279463.84
2014,Total,Mujeres,VI,293449.014
2014,Total,Mujeres,VII,291561.785
2014,Total,Mujeres,VIII,311605.617
2014,Total,Mujeres,IX,309424.146
2014,Total,Mujeres,X,305259.007
2015,Total,Mujeres,Total,3007356.887
2015,Total,Mujeres,I,263379.941
2015,Total,Mujeres,II,249537.108
2015,Total,Mujeres,III,281489.151
2015,Total,Mujeres,IV,298300.436
2015,Total,Mujeres,V,299744.476
2015,Total,Mujeres,VI,312163.172
2015,Total,Mujeres,VII,311157.828
2015,Total,Mujeres,VIII,331339.747
2015,Total,Mujeres,IX,330876.546
2015,Total,Mujeres,X,329368.482
2016,Total,Mujeres,Total,3217372.867
2016,Total,Mujeres,I,282325.228
2016,Total,Mujeres,II,268083.38
2016,Total,Mujeres,III,296536.71
2016,Total,Mujeres,IV,313307.207
2016,Total,Mujeres,V,322087.444
2016,Total,Mujeres,VI,332919.451
2016,Total,Mujeres,VII,333700.058
2016,Total,Mujeres,VIII,354210.502
2016,Total,Mujeres,IX,356290.676
2016,Total,Mujeres,X,357912.21
2017,Total,Mujeres,Total,3449006.983
2017,Total,Mujeres,I,304169.892
2017,Total,Mujeres,II,288991.88
2017,Total,Mujeres,III,313686.904
2017,Total,Mujeres,IV,330309.213
2017,Total,Mujeres,V,346720.839
2017,Total,Mujeres,VI,355912.217
2017,Total,Mujeres,VII,358364.234
2017,Total,Mujeres,VIII,379036.366
2017,Total,Mujeres,IX,384061.607
2017,Total,Mujeres,X,387753.829
2018,Total,Mujeres,Total,3712761.092
2018,Total,Mujeres,I,328272.786
2018,Total,Mujeres,II,312084.44
2018,Total,Mujeres,III,333175.537
2018,Total,Mujeres,IV,349823.161
2018,Total,Mujeres,V,375000.648
2018,Total,Mujeres,VI,382260.257
2018,Total,Mujeres,VII,386436.25
2018,Total,Mujeres,VIII,407603.515
2018,Total,Mujeres,IX,415583.49
2018,Total,Mujeres,X,422521.007
2019,Total,Mujeres,Total,3975097.801
2019,Total,Mujeres,I,351787.079
2019,Total,Mujeres,II,334999.098
2019,Total,Mujeres,III,352193.755
2019,Total,Mujeres,IV,369401.736
2019,Total,Mujeres,V,403845.978
2019,Total,Mujeres,VI,408935.794
2019,Total,Mujeres,VII,414535.186
2019,Total,Mujeres,VIII,435831.438
2019,Total,Mujeres,IX,446498.896
2019,Total,Mujeres,X,457068.841
2020,Total,Mujeres,Total,4459444.992
2020,Total,Mujeres,I,402319.289
2020,Total,Mujeres,II,377967.379
2020,Total,Mujeres,III,399014.591
2020,Total,Mujeres,IV,407177.15
2020,Total,Mujeres,V,455292.403
2020,Total,Mujeres,VI,458894.08
2020,Total,Mujeres,VII,466532.082
2020,Total,Mujeres,VIII,484215.173
2020,Total,Mujeres,IX,497913.961
2020,Total,Mujeres,X,510118.884
2021,Total,Mujeres,Total,4533514.404
2021,Total,Mujeres,I,414723.503
2021,Total,Mujeres,II,384183.577
2021,Total,Mujeres,III,408103.386
2021,Total,Mujeres,IV,405880.567
2021,Total,Mujeres,V,463794.611
2021,Total,Mujeres,VI,466024.437
2021,Total,Mujeres,VII,477392.413
2021,Total,Mujeres,VIII,489586.941
2021,Total,Mujeres,IX,504854.449
2021,Total,Mujeres,X,518970.52
2022,Total,Mujeres,Total,4904764.619
2022,Total,Mujeres,I,454194.01
2022,Total,Mujeres,II,415047.335
2022,Total,Mujeres,III,443225.67
2022,Total,Mujeres,IV,430612.994
2022,Total,Mujeres,V,502697.502
2022,Total,Mujeres,VI,503053.607
2022,Total,Mujeres,VII,519526.93
2022,Total,Mujeres,VIII,527767.404
2022,Total,Mujeres,IX,545064.747
2022,Total,Mujeres,X,563574.421
2023,Total,Mujeres,Total,5374740.908
2023,Total,Mujeres,I,505109.822
2023,Total,Mujeres,II,454745.245
2023,Total,Mujeres,III,489495.547
2023,Total,Mujeres,IV,462761.265
2023,Total,Mujeres,V,552137.024
2023,Total,Mujeres,VI,551180.644
2023,Total,Mujeres,VII,572714.713
2023,Total,Mujeres,VIII,574694.162
2023,Total,Mujeres,IX,595415.505
2023,Total,Mujeres,X,616486.98
2024,Total,Mujeres,Total,5819251.446
2024,Total,Mujeres,I,556514.974
2024,Total,Mujeres,II,493243.791
2024,Total,Mujeres,III,534779.641
2024,Total,Mujeres,IV,491011.99
2024,Total,Mujeres,V,599947.145
2024,Total,Mujeres,VI,597319.726
2024,Total,Mujeres,VII,623626.946
2024,Total,Mujeres,VIII,618103.09
2024,Total,Mujeres,IX,641356.459
2024,Total,Mujeres,X,663347.683
2003,Total,Hombres,Total,304788.055
2003,Total,Hombres,I,19679.315
2003,Total,Hombres,II,24281.817
2003,Total,Hombres,III,26196.178
2003,Total,Hombres,IV,27316.372
2003,Total,Hombres,V,26897.574
2003,Total,Hombres,VI,29992.301
2003,Total,Hombres,VII,33453.232
2003,Total,Hombres,VIII,34002.038
2003,Total,Hombres,IX,36778.574
2003,Total,Hombres,X,46190.653
2004,Total,Hombres,Total,340310.588
2004,Total,Hombres,I,22235.533
2004,Total,Hombres,II,26553.741
2004,Total,Hombres,III,28713.502
2004,Total,Hombres,IV,30357.888
2004,Total,Hombres,V,30592.659
2004,Total,Hombres,VI,33901.159
2004,Total,Hombres,VII,37368.647
2004,Total,Hombres,VIII,38242.315
2004,Total,Hombres,IX,41716.635
2004,Total,Hombres,X,50628.51
2005,Total,Hombres,Total,381850.218
2005,Total,Hombres,I,25549.723
2005,Total,Hombres,II,29309.824
2005,Total,Hombres,III,31517.993
2005,Total,Hombres,IV,33834.513
2005,Total,Hombres,V,34719.96
2005,Total,Hombres,VI,38736.182
2005,Total,Hombres,VII,41892.807
2005,Total,Hombres,VIII,43247.269
2005,Total,Hombres,IX,47246.795
2005,Total,Hombres,X,55795.153
2006,Total,Hombres,Total,423180.03
2006,Total,Hombres,I,28662.82
2006,Total,Hombres,II,32073.776
2006,Total,Hombres,III,34533.907
2006,Total,Hombres,IV,37480.108
2006,Total,Hombres,V,39215.496
2006,Total,Hombres,VI,43387.307
2006,Total,Hombres,VII,46375.021
2006,Total,Hombres,VIII,48014.57
2006,Total,Hombres,IX,53025.004
2006,Total,Hombres,X,60412.02
2007,Total,Hombres,Total,476057.242
2007,Total,Hombres,I,32610.375
2007,Total,Hombres,II,35622.628
2007,Total,Hombres,III,38401.925
2007,Total,Hombres,IV,42120.806
2007,Total,Hombres,V,44726.691
2007,Total,Hombres,VI,49332.066
2007,Total,Hombres,VII,52172.866
2007,Total,Hombres,VIII,54188.746
2007,Total,Hombres,IX,60393.621
2007,Total,Hombres,X,66487.519
2008,Total,Hombres,Total,517467.696
