anio,funcion,sexo,horas_semana
2012,Compras y administración,Hombres,2.836
2013,Compras y administración,Hombres,2.821
2014,Compras y administración,Hombres,2.804
2015,Compras y administración,Hombres,2.848
2016,Compras y administración,Hombres,3.015
2017,Compras y administración,Hombres,3.141
2018,Compras y administración,Hombres,3.268
2019,Compras y administración,Hombres,3.157
2020,Compras y administración,Hombres,2.839
2021,Compras y administración,Hombres,2.78
2022,Compras y administración,Hombres,2.779
2023,Compras y administración,Hombres,2.785
2024,Compras y administración,Hombres,2.712
2003,Cuidados y apoyo,Mujeres,10.714
2004,Cuidados y apoyo,Mujeres,11.265
2005,Cuidados y apoyo,Mujeres,10.559
2006,Cuidados y apoyo,Mujeres,11.502
2007,Cuidados y apoyo,Mujeres,12.412
2008,Cuidados y apoyo,Mujeres,12.983
2009,Cuidados y apoyo,Mujeres,12.202
2010,Cuidados y apoyo,Mujeres,12.169
2011,Cuidados y apoyo,Mujeres,12.511
2012,Cuidados y apoyo,Mujeres,12.531
2013,Cuidados y apoyo,Mujeres,12.277
2014,Cuidados y apoyo,Mujeres,11.718
2015,Cuidados y apoyo,Mujeres,11.887
2016,Cuidados y apoyo,Mujeres,12.049
2017,Cuidados y apoyo,Mujeres,11.983
2018,Cuidados y apoyo,Mujeres,12.112
2019,Cuidados y apoyo,Mujeres,12.311
2020,Cuidados y apoyo,Mujeres,11.223
2021,Cuidados y apoyo,Mujeres,10.809
2022,Cuidados y apoyo,Mujeres,10.099
2023,Cuidados y apoyo,Mujeres,10.253
2024,Cuidados y apoyo,Mujeres,10.32
2003,Cuidados y apoyo,Hombres,5.313
2004,Cuidados y apoyo,Hombres,5.535
2005,Cuidados y apoyo,Hombres,5.131
2006,Cuidados y apoyo,Hombres,5.546
2007,Cuidados y apoyo,Hombres,5.922
2008,Cuidados y apoyo,Hombres,6.119
2009,Cuidados y apoyo,Hombres,5.664
2010,Cuidados y apoyo,Hombres,5.537
2011,Cuidados y apoyo,Hombres,5.575
2012,Cuidados y apoyo,Hombres,5.483
2013,Cuidados y apoyo,Hombres,5.287
2014,Cuidados y apoyo,Hombres,5.203
2015,Cuidados y apoyo,Hombres,5.276
2016,Cuidados y apoyo,Hombres,5.349
2017,Cuidados y apoyo,Hombres,5.328
2018,Cuidados y apoyo,Hombres,5.406
2019,Cuidados y apoyo,Hombres,5.439
2020,Cuidados y apoyo,Hombres,4.614
2021,Cuidados y apoyo,Hombres,4.661
2022,Cuidados y apoyo,Hombres,4.41
2023,Cuidados y apoyo,Hombres,4.725
2024,Cuidados y apoyo,Hombres,4.833
2003,Ayuda a otros hogares,Mujeres,6.655
2004,Ayuda a otros hogares,Mujeres,7.088
2005,Ayuda a otros hogares,Mujeres,7.196
2006,Ayuda a otros hogares,Mujeres,7.596
2007,Ayuda a otros hogares,Mujeres,7.99
2008,Ayuda a otros hogares,Mujeres,8.254
2009,Ayuda a otros hogares,Mujeres,7.968
2010,Ayuda a otros hogares,Mujeres,8.263
2011,Ayuda a otros hogares,Mujeres,8.641
2012,Ayuda a otros hogares,Mujeres,8.838
2013,Ayuda a otros hogares,Mujeres,8.782
2014,Ayuda a otros hogares,Mujeres,8.881
2015,Ayuda a otros hogares,Mujeres,9.047
2016,Ayuda a otros hogares,Mujeres,9.116
2017,Ayuda a otros hogares,Mujeres,9.16
2018,Ayuda a otros hogares,Mujeres,9.267
2019,Ayuda a otros hogares,Mujeres,9.35
2020,Ayuda a otros hogares,Mujeres,9.356
2021,Ayuda a otros hogares,Mujeres,8.791
2022,Ayuda a otros hogares,Mujeres,8.393
2023,Ayuda a otros hogares,Mujeres,8.179
2024,Ayuda a otros hogares,Mujeres,7.951
2003,Ayuda a otros hogares,Hombres,6.48
2004,Ayuda a otros hogares,Hombres,6.317
2005,Ayuda a otros hogares,Hombres,6.042
2006,Ayuda a otros hogares,Hombres,6.015
2007,Ayuda a otros hogares,Hombres,5.902
2008,Ayuda a otros hogares,Hombres,5.756
2009,Ayuda a otros hogares,Hombres,5.369
2010,Ayuda a otros hogares,Hombres,5.602
2011,Ayuda a otros hogares,Hombres,5.76
2012,Ayuda a otros hogares,Hombres,5.894
2013,Ayuda a otros hogares,Hombres,5.738
2014,Ayuda a otros hogares,Hombres,5.724
2015,Ayuda a otros hogares,Hombres,5.986
2016,Ayuda a otros hogares,Hombres,6.09
2017,Ayuda a otros hogares,Hombres,6.312
2018,Ayuda a otros hogares,Hombres,6.552
2019,Ayuda a otros hogares,Hombres,6.564
2020,Ayuda a otros hogares,Hombres,6.355
2021,Ayuda a otros hogares,Hombres,6.033
2022,Ayuda a otros hogares,Hombres,5.776
2023,Ayuda a otros hogares,Hombres,5.756
2024,Ayuda a otros hogares,Hombres,5.514
