periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Segundo trimestre del 2014,Hombre,998411.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2014,Mujer,866748.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2014,Hombre,1004365.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2014,Mujer,861251.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2013,Hombre,1089090.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2013,Mujer,938955.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2013,Hombre,1023281.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2013,Mujer,863836.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2013,Hombre,1029792.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2013,Mujer,905036.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2013,Hombre,1015299.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2013,Mujer,891680.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2012,Hombre,1002653.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2012,Mujer,918280.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2012,Hombre,1102620.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2012,Mujer,963592.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2012,Hombre,1076267.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2012,Mujer,984079.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2012,Hombre,1044259.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2012,Mujer,942372.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2011,Hombre,1034540.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2011,Mujer,948135.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2011,Hombre,1074052.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2011,Mujer,899520.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2011,Hombre,1041833.0,Hasta un salario mínimo,Primaria incompleta
